Test,Temporal_Model_Weight,Scanpath_Model_Weight,AUC,Positive_Class_Ratio,Negative_Class_Ratio
"['dp016_d1', 'ajcont', 'amcont']",0.0,1.0,0.6666666666666666,0.5588235294117647,0.4411764705882353
"['dp021_1', 'ascont', 'awcont']",0.34534534534534533,0.6546546546546547,0.5806595365418895,0.4631578947368421,0.5368421052631579
"['dp024', 'cmcont', 'cvpcont']",0.5095095095095095,0.4904904904904905,0.8989424206815511,0.4457831325301205,0.5542168674698795
"['dp033_d1', 'dscont', 'fvpcont']",0.2122122122122122,0.7877877877877878,0.6213235294117647,0.4594594594594595,0.5405405405405406
"['dp035d1', 'jap_cont', 'jgcont']",0.0,1.0,0.788888888888889,0.21739130434782608,0.782608695652174
"['dp038_d1', 'jscont', 'mdcont']",0.95995995995996,0.04004004004004004,0.6921052631578948,0.20833333333333334,0.7916666666666666
"['dp044_d1', 'ngcont', 'secont']",1.0,0.0,0.6632653061224489,0.5,0.5
"['dp202d1', 'shcont', 'smcont']",0.6766766766766767,0.3233233233233233,0.6337448559670782,0.25,0.75
"['dp39d1_3', 'wlcont']",0.0,1.0,0.45454545454545453,0.9166666666666666,0.08333333333333333
"['dp014d1', 'accont', 'adcont']",0.18318318318318316,0.8168168168168168,0.8509615384615385,0.28888888888888886,0.7111111111111111
